state	blocksMotion	legacySolid	fullOcclude	replaceable	emission	lightBlock	shapeOcclusion	notes	collisionFull
minecraft:jungle_stairs[facing=east,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=bottom,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=east,half=top,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=north,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=bottom,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=south,half=top,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=bottom,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:jungle_stairs[facing=west,half=top,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_slab[type=bottom,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=east,half=top,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=bottom,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=north,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=bottom,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=south,half=top,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=bottom,shape=straight,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=inner_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=inner_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=inner_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=inner_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=outer_left,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=outer_left,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=outer_right,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=outer_right,waterlogged=true]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:mossy_stone_brick_stairs[facing=west,half=top,shape=straight,waterlogged=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:spruce_door[facing=south,half=lower,hinge=right,open=false,powered=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:spruce_door[facing=south,half=upper,hinge=right,open=false,powered=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
minecraft:spruce_fence[east=false,north=false,south=false,waterlogged=false,west=false]	t	t	f	f	0	0	none	transient/family-derived (gen_t14_states3)	f
